STIM,Base,Lexicality,affix,Source,FinalCut,correctans,FamilySize,BaseFreq,LogBF,SF,LogSF,BaseLength,SurfaceLeng,BG_Mean,BG_Freq_By_Pos,Stim.Type,NW.Type,Sublist,CB.Cond
aridism,arid,NW,ish,Crepaldi,S,m,3,100,4.61,NA,NA,4,7,NA,NA,CriticalNW,Complex,1,AB
elmist,elm,NW,ist,Crepaldi,S,m,2,175,5.16,NA,NA,3,6,NA,NA,CriticalNW,Complex,1,AB
curtity,curt,NW,ity,Crepaldi,S,m,3,88,4.48,NA,NA,4,7,NA,NA,CriticalNW,Complex,1,AB
dumbity,dumb,NW,ity,Crepaldi,S,m,6,244,5.50,NA,NA,4,7,NA,NA,CriticalNW,Complex,1,AB
pillize,pill,NW,ize,Crepaldi,S,m,5,537,6.29,NA,NA,4,7,NA,NA,CriticalNW,Complex,1,AB
treasonize,treason,NW,ize,Crepaldi,S,m,4,138,4.93,NA,NA,7,10,NA,NA,CriticalNW,Complex,1,AB
TRUEness,TRUE,NW,ness,Crepaldi,S,m,6,6,1.79,NA,NA,4,8,NA,NA,CriticalNW,Complex,1,AB
brancher,branch,NW,er,Graves,S,m,3,1692,7.43,NA,NA,6,8,NA,NA,CriticalNW,Complex,1,AB
princement,prince,NW,ment,Graves,S,m,4,910,6.81,NA,NA,6,10,NA,NA,CriticalNW,Complex,1,AB
heightence,height,NW,ence,Rastle,S,m,2,912,6.82,NA,NA,6,10,NA,NA,CriticalNW,Complex,1,AB
adoptish,adopt,NW,ish,Rastle,S,m,4,1205,7.09,NA,NA,5,8,NA,NA,CriticalNW,Complex,1,AB
ejectence,eject,NW,ence,RastleFiller,S,m,5,66,4.19,NA,NA,5,9,NA,NA,CriticalNW,Complex,1,AB
weldic,weld,NW,ic,RastleFiller,S,m,3,129,4.86,NA,NA,4,6,NA,NA,CriticalNW,Complex,1,AB
debtish,debt,NW,ish,RastleFiller,S,m,4,656,6.49,NA,NA,4,7,NA,NA,CriticalNW,Complex,1,AB
yankory,yank,NW,ory,RastleFiller,S,m,2,51,3.93,NA,NA,4,7,NA,NA,CriticalNW,Complex,1,AB
fiendism,fiend,NW,ism,XuTaft,S,m,4,53,3.97,NA,NA,5,8,NA,NA,CriticalNW,Complex,1,AB
humidous,humid,NW,ous,XuTaft,S,m,4,92,4.52,NA,NA,5,8,NA,NA,CriticalNW,Complex,1,AB
stirance,stir,NW,ance,Crepaldi,L,m,12,841,6.73,NA,NA,4,8,NA,NA,CriticalNW,Complex,1,AB
tripary,trip,NW,ary,Crepaldi,L,m,9,1382,7.23,NA,NA,4,7,NA,NA,CriticalNW,Complex,1,AB
flitence,flit,NW,ence,Crepaldi,L,m,11,599,6.40,NA,NA,4,8,NA,NA,CriticalNW,Complex,1,AB
ripence,rip,NW,ence,Crepaldi,L,m,8,471,6.15,NA,NA,3,7,NA,NA,CriticalNW,Complex,1,AB
sheeter,sheet,NW,er,Crepaldi,L,m,14,1009,6.92,NA,NA,5,7,NA,NA,CriticalNW,Complex,1,AB
gasful,gas,NW,ful,Crepaldi,L,m,33,1501,7.31,NA,NA,3,6,NA,NA,CriticalNW,Complex,1,AB
angelish,angel,NW,ish,Crepaldi,L,m,17,652,6.48,NA,NA,5,8,NA,NA,CriticalNW,Complex,1,AB
inkism,ink,NW,ish,Crepaldi,L,m,12,290,5.67,NA,NA,3,6,NA,NA,CriticalNW,Complex,1,AB
illist,ill,NW,ist,Crepaldi,L,m,27,2375,7.77,NA,NA,3,6,NA,NA,CriticalNW,Complex,1,AB
coldity,cold,NW,ity,Crepaldi,L,m,14,3585,8.18,NA,NA,4,7,NA,NA,CriticalNW,Complex,1,AB
mouthize,mouth,NW,ize,Crepaldi,L,m,18,2866,7.96,NA,NA,5,8,NA,NA,CriticalNW,Complex,1,AB
mudly,mud,NW,ly,Crepaldi,L,m,16,912,6.82,NA,NA,3,5,NA,NA,CriticalNW,Complex,1,AB
addment,add,NW,ment,Crepaldi,L,m,10,5883,8.68,NA,NA,3,7,NA,NA,CriticalNW,Complex,1,AB
passment,pass,NW,ment,Crepaldi,L,m,43,10035,9.21,NA,NA,4,8,NA,NA,CriticalNW,Complex,1,AB
freeness,free,NW,ness,Crepaldi,L,m,88,7277,8.89,NA,NA,4,8,NA,NA,CriticalNW,Complex,1,AB
flipory,flip,NW,ory,Crepaldi,L,m,10,184,5.21,NA,NA,4,7,NA,NA,CriticalNW,Complex,1,AB
fellowous,fellow,NW,ous,Crepaldi,L,m,11,1324,7.19,NA,NA,6,9,NA,NA,CriticalNW,Complex,1,AB
boilous,boil,NW,ous,Graves,L,m,13,1102,7.00,NA,NA,4,7,NA,NA,CriticalNW,Complex,1,AB
kingism,king,NW,ish,Rastle,L,m,11,2275,7.73,NA,NA,4,7,NA,NA,CriticalNW,Complex,1,AB
northize,north,NW,ize,Rastle,L,m,30,2541,7.84,NA,NA,5,8,NA,NA,CriticalNW,Complex,1,AB
employness,employ,NW,ness,Rastle,L,m,12,4622,8.44,NA,NA,6,10,NA,NA,CriticalNW,Complex,1,AB
bindic,bind,NW,ic,RastleFiller,L,m,14,451,6.11,NA,NA,4,6,NA,NA,CriticalNW,Complex,1,AB
breakity,break,NW,ity,RastleFiller,L,m,43,6366,8.76,NA,NA,5,8,NA,NA,CriticalNW,Complex,1,AB
agreely,agree,NW,ly,RastleFiller,L,m,9,4745,8.46,NA,NA,5,7,NA,NA,CriticalNW,Complex,1,AB
pitchory,pitch,NW,ory,RastleFiller,L,m,10,610,6.41,NA,NA,5,8,NA,NA,CriticalNW,Complex,1,AB
socketel,socket,NW,er,Crepaldi,S,m,1,143,4.96,NA,NA,6,8,NA,NA,CriticalNW,Simple,1,AB
gumfil,gum,NW,ful,Crepaldi,S,m,2,57,4.04,NA,NA,3,6,NA,NA,CriticalNW,Simple,1,AB
heirig,heir,NW,ic,Crepaldi,S,m,3,211,5.35,NA,NA,4,6,NA,NA,CriticalNW,Simple,1,AB
aidig,aid,NW,ic,Crepaldi,S,m,4,1159,7.06,NA,NA,3,5,NA,NA,CriticalNW,Simple,1,AB
urnilt,urn,NW,ist,Crepaldi,S,m,2,68,4.22,NA,NA,3,6,NA,NA,CriticalNW,Simple,1,AB
rampime,ramp,NW,ize,Crepaldi,S,m,1,95,4.55,NA,NA,4,7,NA,NA,CriticalNW,Simple,1,AB
jawla,jaw,NW,ly,Crepaldi,S,m,7,414,6.03,NA,NA,3,5,NA,NA,CriticalNW,Simple,1,AB
opposemant,oppose,NW,ment,Crepaldi,S,m,1,994,6.90,NA,NA,6,10,NA,NA,CriticalNW,Simple,1,AB
nextnels,next,NW,ness,Crepaldi,S,m,4,7415,8.91,NA,NA,4,8,NA,NA,CriticalNW,Simple,1,AB
baskody,bask,NW,ory,Crepaldi,S,m,1,68,4.22,NA,NA,4,7,NA,NA,CriticalNW,Simple,1,AB
digody,dig,NW,ory,Crepaldi,S,m,3,777,6.66,NA,NA,3,6,NA,NA,CriticalNW,Simple,1,AB
warnody,warn,NW,ory,Crepaldi,S,m,5,1697,7.44,NA,NA,4,7,NA,NA,CriticalNW,Simple,1,AB
boltoes,bolt,NW,ous,Crepaldi,S,m,6,348,5.85,NA,NA,4,7,NA,NA,CriticalNW,Simple,1,AB
helmetoes,helmet,NW,ous,Crepaldi,S,m,6,242,5.49,NA,NA,6,9,NA,NA,CriticalNW,Simple,1,AB
schemenels,scheme,NW,ness,Graves,S,m,3,1619,7.39,NA,NA,6,10,NA,NA,CriticalNW,Simple,1,AB
acremant,acre,NW,ment,Rastle,S,m,3,708,6.56,NA,NA,4,8,NA,NA,CriticalNW,Simple,1,AB
tiltady,tilt,NW,ary,RastleFiller,S,m,3,328,5.79,NA,NA,4,7,NA,NA,CriticalNW,Simple,1,AB
medicalady,medical,NW,ary,RastleFiller,S,m,3,1323,7.19,NA,NA,7,10,NA,NA,CriticalNW,Simple,1,AB
zoomfil,zoom,NW,ful,RastleFiller,S,m,2,34,3.53,NA,NA,4,7,NA,NA,CriticalNW,Simple,1,AB
yieldilt,yield,NW,ist,RastleFiller,S,m,4,613,6.42,NA,NA,5,8,NA,NA,CriticalNW,Simple,1,AB
winkidy,wink,NW,ity,RastleFiller,S,m,4,216,5.38,NA,NA,4,7,NA,NA,CriticalNW,Simple,1,AB
thrillange,thrill,NW,ance,XuTaft,S,m,4,307,5.73,NA,NA,6,10,NA,NA,CriticalNW,Simple,1,AB
nullith,null,NW,ish,XuTaft,S,m,4,45,3.81,NA,NA,4,7,NA,NA,CriticalNW,Simple,1,AB
feverime,fever,NW,ize,XuTaft,S,m,4,594,6.39,NA,NA,5,8,NA,NA,CriticalNW,Simple,1,AB
advertisela,advertise,NW,ly,XuTaft,S,m,4,4.76,1.56,NA,NA,9,11,NA,NA,CriticalNW,Simple,1,AB
prayange,pray,NW,ance,Crepaldi,L,m,9,1055,6.96,NA,NA,4,8,NA,NA,CriticalNW,Simple,1,AB
